사업체명,산업대분류,주소,상시근로자수,고용의무인원,장애인 근로자(2배수),장애인고용률(2배수)
(주)텔레칩스,(C)제조업(10~34),서울특별시 송파구,324,10,1,0.31
주식회사우아한청년들,(G)도매 및 소매업(45~47),서울특별시 송파구,624,19,2,0.32
한양대학교 산학협력단,"(M)전문, 과학 및 기술 서비스업(70~73)",서울특별시 성동구,761,23,3,0.39
한국아이큐비아(주),"(M)전문, 과학 및 기술 서비스업(70~73)",서울특별시 송파구,458,14,2,0.44
쌍용건설,(F)건설업(41~42),서울특별시 송파구,1688,52,8,0.47
주)신도리코,(C)제조업(10~34),서울특별시 성동구,714,22,4,0.56
현대에이치디에스(주),(J)정보통신업(58~63),서울특별시 송파구,339,10,2,0.59
신성통상(주),(C)제조업(10~34),서울특별시 강동구,799,24,5,0.63
신라교역(주),"(A)농업, 임업 및 어업(01~03)",서울특별시 송파구,617,19,4,0.65
관악산업주식회사,(F)건설업(41~42),서울특별시 송파구,580,17,4,0.69
네이버시스템(주),(J)정보통신업(58~63),서울특별시 송파구,416,12,3,0.72
여흥건설(주),(F)건설업(41~42),서울특별시 송파구,544,16,4,0.74
학교법인 한양학원,(L)부동산업(68),서울특별시 성동구,6644,205,54,0.81
(주)엠즈파트너스,"(N)사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",서울특별시 강동구,492,15,4,0.81
강릉건설주식회사,(F)건설업(41~42),서울특별시 송파구,561,17,5,0.89
(주)엔젤스태프,"(N)사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",서울특별시 광진구,1990,61,18,0.9
다올이앤씨(주),(F)건설업(41~42),서울특별시 강동구,632,19,6,0.95
예스코,"(D)전기, 가스, 증기 및 공기 조절 공급업(35)",서울특별시 성동구,315,9,3,0.95
(주)신한종합건축사사무소,"(M)전문, 과학 및 기술 서비스업(70~73)",서울특별시 송파구,301,9,3,1
경우전기(주),(F)건설업(41~42),서울특별시 광진구,384,11,4,1.04
학교법인 대양학원,(P)교육 서비스업(85),서울특별시 광진구,1256,38,17,1.35
수협은행,(K)금융 및 보험업(64~66),서울특별시 송파구,1883,58,27,1.43
(학)건국대학교,(L)부동산업(68),서울특별시 광진구,5025,155,73,1.45
(주)신원,(C)제조업(10~34),서울특별시 마포구,647,20,1,0.15
(주)금성출판사,(J)정보통신업(58~63),서울특별시 마포구,386,11,1,0.26
삼진제약(주),(C)제조업(10~34),서울특별시 마포구,707,21,2,0.28
(주)YG엔터테인먼트,"(M)전문, 과학 및 기술 서비스업(70~73)",서울특별시 마포구,344,10,1,0.29
(주)와이티엔,(J)정보통신업(58~63),서울특별시 마포구,656,20,2,0.3
(주)난다,(G)도매 및 소매업(45~47),서울특별시 마포구,601,18,2,0.33
라인프렌즈주식회사,(G)도매 및 소매업(45~47),서울특별시 용산구,302,9,1,0.33
(주)디에이치엘코리아,(H)운수 및 창고업(49~52),서울특별시 마포구,1361,42,5,0.37
희성전자(주),(C)제조업(10~34),서울특별시 용산구,502,15,2,0.4
한국에스지에스(주),"(M)전문, 과학 및 기술 서비스업(70~73)",서울특별시 용산구,930,28,6,0.65
(주)미래휴넷시스템,"(N)사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",서울특별시 용산구,366,11,3,0.82
(주)국보디자인,(F)건설업(41~42),서울특별시 마포구,344,10,3,0.87
에이치디씨현대산업개발(주),(F)건설업(41~42),서울특별시 용산구,1967,60,18,0.92
학교법인 홍익학원,(P)교육 서비스업(85),서울특별시 마포구,1408,43,13,0.92
한겨레신문(주),(J)정보통신업(58~63),서울특별시 마포구,534,16,5,0.94
(주)에프앤씨시스템,"(N)사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",서울특별시 마포구,1162,36,11,0.95
(주)래딕스플러스,"(N)사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",서울특별시 마포구,1025,31,10,0.98
(주)싸이버로지텍,(J)정보통신업(58~63),서울특별시 마포구,405,12,4,0.99
지오스탭로지스(주),"(N)사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",서울특별시 마포구,581,18,6,1.03
(주)로지시스,"(S)협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",서울특별시 마포구,477,14,5,1.05
(주)태준제약,(C)제조업(10~34),서울특별시 용산구,378,11,4,1.06
(주)글락소스미스클라인,(C)제조업(10~34),서울특별시 용산구,445,13,5,1.12
동부건설(주),(F)건설업(41~42),서울특별시 용산구,1497,46,18,1.2
대한해운(주),(H)운수 및 창고업(49~52),서울특별시 강서구,413,12,0,0
양우건설(주),(F)건설업(41~42),서울특별시 영등포구,359,11,0,0
한국요꼬가와전기(주),(C)제조업(10~34),서울특별시 영등포구,351,10,0,0
(주)창조종합건축사사무소,"(M)전문, 과학 및 기술 서비스업(70~73)",서울특별시 영등포구,309,9,0,0
(주)진에어,(H)운수 및 창고업(49~52),서울특별시 강서구,1875,58,1,0.05
코오롱생명과학(주),(G)도매 및 소매업(45~47),서울특별시 강서구,479,14,1,0.21
한세실업주식회사,(C)제조업(10~34),서울특별시 영등포구,651,20,2,0.31
다사마케팅(주),(J)정보통신업(58~63),서울특별시 영등포구,313,9,1,0.32
